Method,Classifier,Train_MisclassificationRate,Test_MisclassificationRate
original,CT,0.0,0.17052052052052052
original,LDA,0.0,0.3138038038038038
ldbk,CT,0.0,0.10996996996996991
ldbk,LDA,0.0921212121212121,0.1289989989989989
ldbkash,CT,0.0,0.3143743743743745
ldbkash,LDA,0.24565656565656563,0.39779779779779767
ldbkemd,CT,0.0,0.10195195195195192
ldbkemd,LDA,0.08848484848484846,0.1254954954954954
