Experiment,Method,Classifier,"Train_MulticlassTruePositiveRate{MLJBase.MacroAvg, OrderedCollections.LittleDict}","Test_MulticlassTruePositiveRate{MLJBase.MacroAvg, OrderedCollections.LittleDict}"
50,ldbkemd,CT,1.0,0.9229229229229229
50,ldbkemd,LDA,0.9292929292929294,0.8888888888888888
52,original,CT,1.0,0.8208208208208209
52,original,LDA,1.0,0.7177177177177176
52,ldbk,CT,1.0,0.9049049049049049
52,ldbk,LDA,0.9292929292929294,0.896896896896897
52,ldbkash,CT,1.0,0.5415415415415415
52,ldbkash,LDA,0.6666666666666666,0.5485485485485486
52,ldbkemd,CT,1.0,0.8918918918918918
52,ldbkemd,LDA,0.9494949494949495,0.911911911911912
63,original,CT,1.0,0.8288288288288288
63,original,LDA,1.0,0.7507507507507508
63,ldbk,CT,1.0,0.918918918918919
63,ldbk,LDA,0.9393939393939394,0.8528528528528528
63,ldbkash,CT,1.0,0.7567567567567567
63,ldbkash,LDA,0.8181818181818182,0.7067067067067067
63,ldbkemd,CT,1.0,0.9019019019019018
63,ldbkemd,LDA,0.9595959595959597,0.8628628628628628
92,original,CT,1.0,0.7907907907907908
92,original,LDA,1.0,0.7057057057057058
92,ldbk,CT,1.0,0.8908908908908909
92,ldbk,LDA,0.9494949494949495,0.8588588588588589
92,ldbkash,CT,1.0,0.5865865865865866
92,ldbkash,LDA,0.7373737373737373,0.5255255255255254
92,ldbkemd,CT,1.0,0.8658658658658659
92,ldbkemd,LDA,0.9494949494949495,0.8548548548548549
88,original,CT,1.0,0.8568568568568568
88,original,LDA,1.0,0.6036036036036035
88,ldbk,CT,1.0,0.8728728728728729
88,ldbk,LDA,0.8686868686868686,0.8358358358358359
88,ldbkash,CT,1.0,0.8388388388388388
88,ldbkash,LDA,0.8989898989898991,0.8408408408408409
88,ldbkemd,CT,1.0,0.8788788788788789
88,ldbkemd,LDA,0.8585858585858586,0.8368368368368367
93,original,CT,1.0,0.8168168168168167
93,original,LDA,1.0,0.6596596596596597
93,ldbk,CT,1.0,0.9219219219219218
93,ldbk,LDA,0.9191919191919192,0.8578578578578578
93,ldbkash,CT,1.0,0.5345345345345345
93,ldbkash,LDA,0.595959595959596,0.4314314314314314
93,ldbkemd,CT,1.0,0.8958958958958959
93,ldbkemd,LDA,0.9090909090909092,0.8578578578578578
26,original,CT,1.0,0.7637637637637638
26,original,LDA,1.0,0.6556556556556556
26,ldbk,CT,1.0,0.9329329329329329
26,ldbk,LDA,0.8888888888888888,0.8728728728728729
26,ldbkash,CT,1.0,0.6676676676676676
26,ldbkash,LDA,0.6969696969696969,0.5775775775775776
26,ldbkemd,CT,1.0,0.900900900900901
26,ldbkemd,LDA,0.9090909090909092,0.8728728728728729
10,original,CT,1.0,0.8148148148148148
10,original,LDA,1.0,0.6876876876876876
10,ldbk,CT,1.0,0.9059059059059059
10,ldbk,LDA,0.9393939393939394,0.8498498498498499
10,ldbkash,CT,1.0,0.5685685685685685
10,ldbkash,LDA,0.6060606060606061,0.41541541541541543
10,ldbkemd,CT,1.0,0.866866866866867
10,ldbkemd,LDA,0.9292929292929294,0.8478478478478477
77,original,CT,1.0,0.7607607607607608
77,original,LDA,1.0,0.6906906906906908
77,ldbk,CT,1.0,0.918918918918919
77,ldbk,LDA,0.8585858585858586,0.7827827827827827
77,ldbkash,CT,1.0,0.6146146146146146
77,ldbkash,LDA,0.7373737373737373,0.5475475475475476
77,ldbkemd,CT,1.0,0.91991991991992
77,ldbkemd,LDA,0.9191919191919192,0.8718718718718718
24,original,CT,1.0,0.8428428428428428
24,original,LDA,1.0,0.5945945945945946
24,ldbk,CT,1.0,0.8678678678678678
24,ldbk,LDA,0.9090909090909092,0.8848848848848849
24,ldbkash,CT,1.0,0.5875875875875876
24,ldbkash,LDA,0.6666666666666666,0.4344344344344344
24,ldbkemd,CT,1.0,0.913913913913914
24,ldbkemd,LDA,0.888888888888889,0.8748748748748749
87,original,CT,1.0,0.8078078078078078
87,original,LDA,1.0,0.7147147147147148
87,ldbk,CT,1.0,0.8428428428428428
87,ldbk,LDA,0.9292929292929294,0.8878878878878879
87,ldbkash,CT,1.0,0.8098098098098099
87,ldbkash,LDA,0.7575757575757575,0.6066066066066066
87,ldbkemd,CT,1.0,0.8348348348348349
87,ldbkemd,LDA,0.9292929292929294,0.8878878878878879
58,original,CT,1.0,0.8178178178178177
58,original,LDA,1.0,0.6736736736736737
58,ldbk,CT,1.0,0.943943943943944
58,ldbk,LDA,0.8484848484848485,0.8728728728728729
58,ldbkash,CT,1.0,0.6706706706706708
58,ldbkash,LDA,0.8282828282828284,0.6826826826826826
58,ldbkemd,CT,1.0,0.9219219219219218
58,ldbkemd,LDA,0.9090909090909092,0.8928928928928929
25,original,CT,1.0,0.8128128128128127
25,original,LDA,1.0,0.6326326326326326
25,ldbk,CT,1.0,0.8968968968968968
25,ldbk,LDA,0.8383838383838383,0.8568568568568568
