Experiment,Method,Classifier,"Train_MulticlassTruePositiveRate{MLJBase.MacroAvg, OrderedCollections.LittleDict}","Test_MulticlassTruePositiveRate{MLJBase.MacroAvg, OrderedCollections.LittleDict}"
19,ldbk,CT,1.0,0.8648648648648649
19,ldbk,LDA,0.9292929292929294,0.8768768768768768
19,ldbkash,CT,1.0,0.5435435435435435
19,ldbkash,LDA,0.7575757575757577,0.5255255255255256
19,ldbkemd,CT,1.0,0.8858858858858859
19,ldbkemd,LDA,0.9191919191919192,0.8328328328328328
91,original,CT,1.0,0.7877877877877878
91,original,LDA,1.0,0.6916916916916916
91,ldbk,CT,1.0,0.8798798798798799
91,ldbk,LDA,0.9090909090909092,0.8448448448448449
91,ldbkash,CT,1.0,0.8508508508508509
91,ldbkash,LDA,0.9292929292929294,0.7967967967967967
91,ldbkemd,CT,1.0,0.8628628628628628
91,ldbkemd,LDA,0.888888888888889,0.8588588588588588
69,original,CT,1.0,0.8118118118118117
69,original,LDA,1.0,0.6536536536536537
69,ldbk,CT,1.0,0.8998998998998999
69,ldbk,LDA,0.8989898989898991,0.8638638638638639
69,ldbkash,CT,1.0,0.6666666666666666
69,ldbkash,LDA,0.7272727272727272,0.5455455455455456
69,ldbkemd,CT,1.0,0.9229229229229229
69,ldbkemd,LDA,0.8787878787878789,0.8618618618618618
60,original,CT,1.0,0.8338338338338338
60,original,LDA,1.0,0.6406406406406406
60,ldbk,CT,1.0,0.8458458458458459
60,ldbk,LDA,0.8181818181818182,0.8878878878878879
60,ldbkash,CT,1.0,0.6006006006006005
60,ldbkash,LDA,0.7171717171717171,0.5215215215215215
60,ldbkemd,CT,1.0,0.8478478478478478
60,ldbkemd,LDA,0.8181818181818182,0.8878878878878879
97,original,CT,1.0,0.7827827827827828
97,original,LDA,1.0,0.6696696696696698
97,ldbk,CT,1.0,0.8798798798798799
97,ldbk,LDA,0.8888888888888888,0.8528528528528528
97,ldbkash,CT,1.0,0.7997997997997999
97,ldbkash,LDA,0.7171717171717171,0.6306306306306306
97,ldbkemd,CT,1.0,0.8608608608608609
97,ldbkemd,LDA,0.8989898989898991,0.8788788788788788
4,original,CT,1.0,0.8028028028028028
4,original,LDA,1.0,0.6836836836836837
4,ldbk,CT,1.0,0.9019019019019018
4,ldbk,LDA,0.888888888888889,0.8328328328328328
4,ldbkash,CT,1.0,0.7017017017017017
4,ldbkash,LDA,0.808080808080808,0.5395395395395396
4,ldbkemd,CT,1.0,0.9119119119119118
4,ldbkemd,LDA,0.8989898989898991,0.8428428428428427
22,original,CT,1.0,0.8078078078078078
22,original,LDA,1.0,0.6666666666666666
22,ldbk,CT,1.0,0.8728728728728729
22,ldbk,LDA,0.9090909090909092,0.8948948948948949
22,ldbkash,CT,1.0,0.8798798798798799
22,ldbkash,LDA,0.9393939393939394,0.8638638638638638
22,ldbkemd,CT,1.0,0.8548548548548549
22,ldbkemd,LDA,0.9191919191919192,0.8888888888888888
11,original,CT,1.0,0.8658658658658659
11,original,LDA,1.0,0.7097097097097097
11,ldbk,CT,1.0,0.924924924924925
11,ldbk,LDA,0.9292929292929294,0.8898898898898899
11,ldbkash,CT,1.0,0.5295295295295296
11,ldbkash,LDA,0.6262626262626263,0.3653653653653654
11,ldbkemd,CT,1.0,0.8878878878878878
11,ldbkemd,LDA,0.9191919191919192,0.8858858858858859
35,original,CT,1.0,0.8568568568568568
35,original,LDA,1.0,0.7497497497497498
35,ldbk,CT,1.0,0.8878878878878879
35,ldbk,LDA,0.8888888888888888,0.8698698698698699
35,ldbkash,CT,1.0,0.5995995995995996
35,ldbkash,LDA,0.6363636363636364,0.3723723723723724
35,ldbkemd,CT,1.0,0.934934934934935
35,ldbkemd,LDA,0.9090909090909092,0.8678678678678678
13,original,CT,1.0,0.8648648648648649
13,original,LDA,1.0,0.7337337337337337
13,ldbk,CT,1.0,0.9189189189189189
13,ldbk,LDA,0.8989898989898991,0.8728728728728729
13,ldbkash,CT,1.0,0.5545545545545546
13,ldbkash,LDA,0.7474747474747474,0.5665665665665666
13,ldbkemd,CT,1.0,0.8738738738738739
13,ldbkemd,LDA,0.888888888888889,0.8738738738738739
15,original,CT,1.0,0.8268268268268267
15,original,LDA,1.0,0.6726726726726726
15,ldbk,CT,1.0,0.9089089089089089
15,ldbk,LDA,0.9292929292929294,0.8778778778778779
15,ldbkash,CT,1.0,0.7127127127127126
15,ldbkash,LDA,0.8383838383838383,0.7447447447447447
15,ldbkemd,CT,1.0,0.926926926926927
15,ldbkemd,LDA,0.9292929292929294,0.8768768768768768
61,original,CT,1.0,0.856856856856857
61,original,LDA,1.0,0.6406406406406406
61,ldbk,CT,1.0,0.8788788788788788
61,ldbk,LDA,0.8787878787878789,0.8778778778778777
61,ldbkash,CT,1.0,0.6616616616616616
61,ldbkash,LDA,0.6767676767676768,0.5135135135135135
61,ldbkemd,CT,1.0,0.8758758758758759
61,ldbkemd,LDA,0.8787878787878789,0.8818818818818818
67,original,CT,1.0,0.8208208208208209
67,original,LDA,1.0,0.7377377377377378
67,ldbk,CT,1.0,0.8948948948948949
67,ldbk,LDA,0.9090909090909092,0.8678678678678678
67,ldbkash,CT,1.0,0.5595595595595596
67,ldbkash,LDA,0.7676767676767676,0.5055055055055054
67,ldbkemd,CT,1.0,0.8768768768768768
67,ldbkemd,LDA,0.9191919191919192,0.8718718718718718
16,original,CT,1.0,0.8908908908908909
16,original,LDA,1.0,0.6456456456456455
16,ldbk,CT,1.0,0.9129129129129129
16,ldbk,LDA,0.9090909090909092,0.8708708708708709
16,ldbkash,CT,1.0,0.6116116116116116
16,ldbkash,LDA,0.6363636363636364,0.46146146146146144
16,ldbkemd,CT,1.0,0.8828828828828829
16,ldbkemd,LDA,0.8989898989898991,0.8738738738738739
100,original,CT,1.0,0.8458458458458459
100,original,LDA,1.0,0.7237237237237237
100,ldbk,CT,1.0,0.8928928928928929
100,ldbk,LDA,0.9393939393939394,0.913913913913914
100,ldbkash,CT,1.0,0.8638638638638638
100,ldbkash,LDA,0.888888888888889,0.7027027027027026
100,ldbkemd,CT,1.0,0.8748748748748749
100,ldbkemd,LDA,0.9595959595959597,0.9089089089089089
40,original,CT,1.0,0.8308308308308309
40,original,LDA,1.0,0.7197197197197197
40,ldbk,CT,1.0,0.9009009009009009
40,ldbk,LDA,0.8787878787878789,0.8878878878878879
40,ldbkash,CT,1.0,0.7297297297297297
40,ldbkash,LDA,0.7575757575757577,0.5955955955955956
40,ldbkemd,CT,1.0,0.8758758758758759
40,ldbkemd,LDA,0.8787878787878789,0.8828828828828829
21,original,CT,1.0,0.8218218218218217
21,original,LDA,1.0,0.6826826826826826
21,ldbk,CT,1.0,0.891891891891892
21,ldbk,LDA,0.9090909090909092,0.8628628628628628
21,ldbkash,CT,1.0,0.8688688688688688
21,ldbkash,LDA,0.8787878787878789,0.883883883883884
21,ldbkemd,CT,1.0,0.8828828828828829
21,ldbkemd,LDA,0.8787878787878788,0.8828828828828829
38,original,CT,1.0,0.8298298298298299
38,original,LDA,1.0,0.6586586586586587
38,ldbk,CT,1.0,0.914914914914915
38,ldbk,LDA,0.8686868686868688,0.8678678678678678
38,ldbkash,CT,1.0,0.8858858858858859
38,ldbkash,LDA,0.8787878787878789,0.8738738738738738
38,ldbkemd,CT,1.0,0.9219219219219218
38,ldbkemd,LDA,0.8686868686868688,0.8678678678678678
46,original,CT,1.0,0.8208208208208209
46,original,LDA,1.0,0.6476476476476477
46,ldbk,CT,1.0,0.8848848848848849
46,ldbk,LDA,0.8888888888888888,0.8898898898898899
46,ldbkash,CT,1.0,0.6516516516516516
46,ldbkash,LDA,0.7070707070707071,0.5615615615615616
46,ldbkemd,CT,1.0,0.8718718718718718
46,ldbkemd,LDA,0.8686868686868686,0.8908908908908909
72,original,CT,1.0,0.7887887887887889
72,original,LDA,1.0,0.6476476476476477
72,ldbk,CT,1.0,0.8618618618618618
72,ldbk,LDA,0.9090909090909092,0.8538538538538538
72,ldbkash,CT,1.0,0.6196196196196196
72,ldbkash,LDA,0.7171717171717171,0.5075075075075075
72,ldbkemd,CT,1.0,0.9259259259259259
72,ldbkemd,LDA,0.8989898989898989,0.8458458458458459
83,original,CT,1.0,0.8418418418418417
83,original,LDA,1.0,0.5935935935935936
83,ldbk,CT,1.0,0.8608608608608609
83,ldbk,LDA,0.9090909090909092,0.871871871871872
83,ldbkash,CT,1.0,0.6466466466466466
83,ldbkash,LDA,0.7474747474747474,0.5465465465465466
83,ldbkemd,CT,1.0,0.8878878878878878
83,ldbkemd,LDA,0.888888888888889,0.861861861861862
45,original,CT,1.0,0.8508508508508509
45,original,LDA,1.0,0.7447447447447448
45,ldbk,CT,1.0,0.8538538538538538
45,ldbk,LDA,0.888888888888889,0.8878878878878879
45,ldbkash,CT,1.0,0.5735735735735735
45,ldbkash,LDA,0.6666666666666666,0.4724724724724724
45,ldbkemd,CT,1.0,0.8758758758758759
45,ldbkemd,LDA,0.8787878787878788,0.8868868868868868
68,original,CT,1.0,0.8018018018018017
68,original,LDA,1.0,0.6796796796796797
68,ldbk,CT,1.0,0.898898898898899
68,ldbk,LDA,0.8989898989898991,0.903903903903904
68,ldbkash,CT,1.0,0.6816816816816816
68,ldbkash,LDA,0.7474747474747474,0.5775775775775776
68,ldbkemd,CT,1.0,0.9129129129129129
68,ldbkemd,LDA,0.888888888888889,0.908908908908909
56,original,CT,1.0,0.8508508508508509
56,original,LDA,1.0,0.7917917917917917
56,ldbk,CT,1.0,0.8898898898898899
56,ldbk,LDA,0.9393939393939394,0.8808808808808809
56,ldbkash,CT,1.0,0.6146146146146146
56,ldbkash,LDA,0.6363636363636364,0.4214214214214214
56,ldbkemd,CT,1.0,0.8948948948948949
56,ldbkemd,LDA,0.9393939393939394,0.8808808808808809
36,original,CT,1.0,0.8528528528528528
36,original,LDA,1.0,0.7717717717717717
36,ldbk,CT,1.0,0.8998998998998999
36,ldbk,LDA,0.9292929292929294,0.8928928928928929
36,ldbkash,CT,1.0,0.7977977977977977
36,ldbkash,LDA,0.7575757575757577,0.5725725725725725
36,ldbkemd,CT,1.0,0.908908908908909
36,ldbkemd,LDA,0.9292929292929294,0.8928928928928929
66,original,CT,1.0,0.8438438438438438
66,original,LDA,1.0,0.7297297297297298
66,ldbk,CT,1.0,0.923923923923924
66,ldbk,LDA,0.9090909090909092,0.8708708708708709
66,ldbkash,CT,1.0,0.8808808808808809
66,ldbkash,LDA,0.8989898989898991,0.8678678678678677
66,ldbkemd,CT,1.0,0.9249249249249248
66,ldbkemd,LDA,0.8989898989898991,0.8628628628628628
76,original,CT,1.0,0.8468468468468467
76,original,LDA,1.0,0.6996996996996998
76,ldbk,CT,1.0,0.8928928928928929
76,ldbk,LDA,0.9494949494949495,0.8768768768768768
76,ldbkash,CT,1.0,0.46146146146146144
76,ldbkash,LDA,0.6868686868686869,0.4724724724724725
76,ldbkemd,CT,1.0,0.9539539539539539
76,ldbkemd,LDA,0.9494949494949495,0.8768768768768768
95,original,CT,1.0,0.7787787787787788
95,original,LDA,1.0,0.6576576576576576
95,ldbk,CT,1.0,0.8518518518518517
95,ldbk,LDA,0.8585858585858587,0.8408408408408409
95,ldbkash,CT,1.0,0.6256256256256256
95,ldbkash,LDA,0.7373737373737375,0.6946946946946947
95,ldbkemd,CT,1.0,0.8368368368368367
95,ldbkemd,LDA,0.8484848484848485,0.8428428428428428
85,original,CT,1.0,0.8418418418418417
85,original,LDA,1.0,0.7107107107107108
85,ldbk,CT,1.0,0.8948948948948949
85,ldbk,LDA,0.8787878787878789,0.8698698698698699
85,ldbkash,CT,1.0,0.7527527527527528
85,ldbkash,LDA,0.7676767676767676,0.6356356356356356
85,ldbkemd,CT,1.0,0.9329329329329329
85,ldbkemd,LDA,0.9090909090909092,0.8838838838838838
48,original,CT,1.0,0.8378378378378378
48,original,LDA,1.0,0.6116116116116116
48,ldbk,CT,1.0,0.914914914914915
48,ldbk,LDA,0.9090909090909092,0.8858858858858859
48,ldbkash,CT,1.0,0.6766766766766766
48,ldbkash,LDA,0.7676767676767677,0.5645645645645646
48,ldbkemd,CT,1.0,0.903903903903904
48,ldbkemd,LDA,0.9090909090909092,0.8848848848848849
18,original,CT,1.0,0.831831831831832
18,original,LDA,1.0,0.6326326326326326
18,ldbk,CT,1.0,0.8338338338338338
18,ldbk,LDA,0.888888888888889,0.886886886886887
18,ldbkash,CT,1.0,0.6746746746746747
18,ldbkash,LDA,0.7474747474747475,0.6186186186186187
18,ldbkemd,CT,1.0,0.8428428428428428
18,ldbkemd,LDA,0.8989898989898989,0.8898898898898899
30,original,CT,1.0,0.8408408408408409
30,original,LDA,1.0,0.7207207207207208
30,ldbk,CT,1.0,0.8958958958958959
30,ldbk,LDA,0.9393939393939394,0.8828828828828829
30,ldbkash,CT,1.0,0.6446446446446447
30,ldbkash,LDA,0.7878787878787877,0.5555555555555555
30,ldbkemd,CT,1.0,0.9289289289289289
30,ldbkemd,LDA,0.9292929292929294,0.8858858858858859
3,original,CT,1.0,0.8608608608608609
3,original,LDA,1.0,0.6766766766766766
3,ldbk,CT,1.0,0.8958958958958959
3,ldbk,LDA,0.9292929292929294,0.888888888888889
3,ldbkash,CT,1.0,0.5535535535535536
3,ldbkash,LDA,0.595959595959596,0.5005005005005004
3,ldbkemd,CT,1.0,0.91991991991992
3,ldbkemd,LDA,0.9292929292929294,0.8948948948948949
