Experiment,Method,Classifier,Train_MisclassificationRate,Test_MisclassificationRate
75,original,CT,0.0,0.17217217217217218
75,original,LDA,0.0,0.33133133133133136
75,ldbk,CT,0.0,0.0970970970970971
75,ldbk,LDA,0.12121212121212122,0.12712712712712712
75,ldbkash,CT,0.0,0.37537537537537535
75,ldbkash,LDA,0.2828282828282828,0.4724724724724725
75,ldbkemd,CT,0.0,0.07907907907907907
75,ldbkemd,LDA,0.1111111111111111,0.12412412412412413
42,original,CT,0.0,0.1931931931931932
42,original,LDA,0.0,0.22722722722722724
42,ldbk,CT,0.0,0.1931931931931932
42,ldbk,LDA,0.13131313131313133,0.2062062062062062
42,ldbkash,CT,0.0,0.2832832832832833
42,ldbkash,LDA,0.2828282828282828,0.44644644644644643
42,ldbkemd,CT,0.0,0.12212212212212212
42,ldbkemd,LDA,0.06060606060606061,0.11911911911911911
33,original,CT,0.0,0.18018018018018017
33,original,LDA,0.0,0.2552552552552553
33,ldbk,CT,0.0,0.11911911911911911
33,ldbk,LDA,0.10101010101010101,0.11911911911911911
33,ldbkash,CT,0.0,0.3083083083083083
33,ldbkash,LDA,0.36363636363636365,0.5755755755755756
33,ldbkemd,CT,0.0,0.09009009009009009
33,ldbkemd,LDA,0.1111111111111111,0.11811811811811812
28,original,CT,0.0,0.15415415415415415
28,original,LDA,0.0,0.2972972972972973
28,ldbk,CT,0.0,0.12412412412412413
28,ldbk,LDA,0.050505050505050504,0.1011011011011011
28,ldbkash,CT,0.0,0.12012012012012012
28,ldbkash,LDA,0.050505050505050504,0.11911911911911911
28,ldbkemd,CT,0.0,0.08708708708708708
28,ldbkemd,LDA,0.0707070707070707,0.1011011011011011
50,original,CT,0.0,0.1921921921921922
50,original,LDA,0.0,0.2732732732732733
50,ldbk,CT,0.0,0.057057057057057055
50,ldbk,LDA,0.08080808080808081,0.10710710710710711
50,ldbkash,CT,0.0,0.3113113113113113
50,ldbkash,LDA,0.30303030303030304,0.44744744744744747
50,ldbkemd,CT,0.0,0.07707707707707707
50,ldbkemd,LDA,0.0707070707070707,0.1111111111111111
52,original,CT,0.0,0.17917917917917917
52,original,LDA,0.0,0.2822822822822823
52,ldbk,CT,0.0,0.09509509509509509
52,ldbk,LDA,0.0707070707070707,0.1031031031031031
52,ldbkash,CT,0.0,0.45845845845845845
52,ldbkash,LDA,0.3333333333333333,0.45145145145145144
52,ldbkemd,CT,0.0,0.10810810810810811
52,ldbkemd,LDA,0.050505050505050504,0.08808808808808809
63,original,CT,0.0,0.17117117117117117
63,original,LDA,0.0,0.24924924924924924
63,ldbk,CT,0.0,0.08108108108108109
63,ldbk,LDA,0.06060606060606061,0.14714714714714713
63,ldbkash,CT,0.0,0.24324324324324326
63,ldbkash,LDA,0.18181818181818182,0.2932932932932933
63,ldbkemd,CT,0.0,0.0980980980980981
63,ldbkemd,LDA,0.04040404040404041,0.13713713713713713
92,original,CT,0.0,0.2092092092092092
92,original,LDA,0.0,0.29429429429429427
92,ldbk,CT,0.0,0.1091091091091091
92,ldbk,LDA,0.050505050505050504,0.14114114114114115
92,ldbkash,CT,0.0,0.4134134134134134
92,ldbkash,LDA,0.26262626262626265,0.4744744744744745
92,ldbkemd,CT,0.0,0.13413413413413414
92,ldbkemd,LDA,0.050505050505050504,0.14514514514514515
88,original,CT,0.0,0.14314314314314314
88,original,LDA,0.0,0.3963963963963964
88,ldbk,CT,0.0,0.12712712712712712
88,ldbk,LDA,0.13131313131313133,0.16416416416416416
88,ldbkash,CT,0.0,0.16116116116116116
